ID,Name,Email,Title,Status,Presentation lD
pldi.319.long,"Luis Vega, Joseph McMahan, Adrian Sampson, Dan Grossman, Luis Ceze",,Reticle: A Virtual Machine for Programming Modern FPGAs,not_recording,38956300
pldi.319.short,"Luis Vega, Joseph McMahan, Adrian Sampson, Dan Grossman, Luis Ceze",,Reticle: A Virtual Machine for Programming Modern FPGAs,finished,38956213
pldi.325.long,"Ali Asadi, Krishnendu Chatterjee, Hongfei Fu, Amir Kafshdar Goharshady, Mohammad Mahdavi",,Polynomial Reachability Witnesses via StellensÃ¤tze,incoming,38956301
pldi.325.short,"Ali Asadi, Krishnendu Chatterjee, Hongfei Fu, Amir Kafshdar Goharshady, Mohammad Mahdavi",,Polynomial Reachability Witnesses via StellensÃ¤tze,finished,38956214
pldi.332.long,"Di Wang, Jan Hoffmann, Thomas Reps",,Sound Probabilistic Inference via Guide Types,incoming,38956302
pldi.332.short,"Di Wang, Jan Hoffmann, Thomas Reps",,Sound Probabilistic Inference via Guide Types,finished,38956215
pldi.337.long,"Feras A. Saad, Martin C. Rinard, Vikash K. Mansinghka",,SPPL: Probabilistic Programming with Fast Exact Symbolic Inference,finished,38956303
pldi.337.short,"Feras A. Saad, Martin C. Rinard, Vikash K. Mansinghka",,SPPL: Probabilistic Programming with Fast Exact Symbolic Inference,finished,38956216
pldi.34.long,"Simon Spies, Lennard Gäher, Daniel Gratzer",,Transfinite Iris: Resolving an Existential Dilemma of Step-Indexed Separation Logic,finished,38956256
pldi.34.short,"Simon Spies, Lennard Gäher, Daniel Gratzer",,Transfinite Iris: Resolving an Existential Dilemma of Step-Indexed Separation Logic,finished,38956169
pldi.343.long,"Akimasa Morihata, Shigeyuki Sato",,Reverse Engineering for Reduction Parallelization via Semiring Polynomials,incoming,38956304
pldi.343.short,"Akimasa Morihata, Shigeyuki Sato",,Reverse Engineering for Reduction Parallelization via Semiring Polynomials,finished,38956217
pldi.355.long,"Kevin Ellis, Catherine Wong, Maxwell Nye, Mathias SablÃ©-Meyer, Lucas Morales, Luke Hewitt, Luc Cary, Armando Solar-Lezama, Joshua B. Tenenbaum",,DreamCoder: Bootstrapping Inductive Program Synthesis with Wake-Sleep Library Learning,finished,38956305
pldi.355.short,"Kevin Ellis, Catherine Wong, Maxwell Nye, Mathias SablÃ©-Meyer, Lucas Morales, Luke Hewitt, Luc Cary, Armando Solar-Lezama, Joshua B. Tenenbaum",,DreamCoder: Bootstrapping Inductive Program Synthesis with Wake-Sleep Library Learning,finished,38956218
pldi.363.long,"Milijana Surbatovich, Limin Jia, Brandon Lucia",,Automatically Enforcing Fresh and Consistent Inputs in Intermittent Systems,incoming,38956306
pldi.363.short,"Milijana Surbatovich, Limin Jia, Brandon Lucia",,Automatically Enforcing Fresh and Consistent Inputs in Intermittent Systems,finished,38956219
pldi.369.long,"Minki Cho, Sung-Hwan Lee, Chung-Kil Hur, Ori Lahav",,Modular Data-Race-Freedom Guarantees in the Promising Semantics,finished,38956307
pldi.369.short,"Minki Cho, Sung-Hwan Lee, Chung-Kil Hur, Ori Lahav",,Modular Data-Race-Freedom Guarantees in the Promising Semantics,finished,38956220
pldi.375.long,"Wei Niu, Jiexiong Guan, Yanzhi Wang, Gagan Agrawal, Bin Ren",,DNNFusion: Accelerating Deep Neural Networks Execution with Advanced Operator Fusion,finished,38956308
pldi.375.short,"Wei Niu, Jiexiong Guan, Yanzhi Wang, Gagan Agrawal, Bin Ren",,DNNFusion: Accelerating Deep Neural Networks Execution with Advanced Operator Fusion,finished,38956221
pldi.40.long,"Alex Reinking, Ningning Xie, Leonardo De Moura, Daan Leijen",,Perceus: Garbage Free Reference Counting with Reuse,finished,38956257
pldi.40.short,"Alex Reinking, Ningning Xie, Leonardo De Moura, Daan Leijen",,Perceus: Garbage Free Reference Counting with Reuse,finished,38956170
pldi.404.long,"Yoshiki Takashima, Ruben Martins, Limin Jia, Corina S. PÄƒsÄƒreanu",,SyRust: Automatic Testing of Rust Libraries with Semantic-Aware Program Synthesis,incoming,38956309
pldi.404.short,"Yoshiki Takashima, Ruben Martins, Limin Jia, Corina S. PÄƒsÄƒreanu",,SyRust: Automatic Testing of Rust Libraries with Semantic-Aware Program Synthesis,finished,38956222
pldi.407.long,"Zhiqiang Zuo, Yiyu Zhang, Qiuhong Pan, Shenming Lu, Yue Li, Linzhang Wang, Xuandong Li, Guoqing Harry Xu",,Chianina: An Evolving Graph System for Flow- and Context-Sensitive Analyses of Million Lines of C Code,incoming,38956310
pldi.407.short,"Zhiqiang Zuo, Yiyu Zhang, Qiuhong Pan, Shenming Lu, Yue Li, Linzhang Wang, Xuandong Li, Guoqing Harry Xu",,Chianina: An Evolving Graph System for Flow- and Context-Sensitive Analyses of Million Lines of C Code,finished,38956223
pldi.424.long,"Qingkai Shi, Peisen Yao, Rongxin Wu, Charles Zhang",,Path-Sensitive Sparse Analysis without Path Conditions,incoming,38956311
pldi.424.short,"Qingkai Shi, Peisen Yao, Rongxin Wu, Charles Zhang",,Path-Sensitive Sparse Analysis without Path Conditions,finished,38956224
pldi.43.long,"Talia Ringer, RanDair Porter, Nathaniel Yazdani, John Leo, Dan Grossman",,Proof Repair across Type Equivalences,incoming,38956258
pldi.43.short,"Talia Ringer, RanDair Porter, Nathaniel Yazdani, John Leo, Dan Grossman",,Proof Repair across Type Equivalences,finished,38956171
pldi.430.long,"Shachar Itzhaky, Hila Peleg, Nadia Polikarpova, Reuben N. S. Rowe, Ilya Sergey",,Cyclic Program Synthesis,incoming,38956312
pldi.430.short,"Shachar Itzhaky, Hila Peleg, Nadia Polikarpova, Reuben N. S. Rowe, Ilya Sergey",,Cyclic Program Synthesis,finished,38956225
pldi.44.long,"Rodrigo Bruno, Vojin Jovanovic, Christian Wimmer, Gustavo Alonso",,Compiler-Assisted Object Inlining with Value Fields,incoming,38956259
pldi.44.short,"Rodrigo Bruno, Vojin Jovanovic, Christian Wimmer, Gustavo Alonso",,Compiler-Assisted Object Inlining with Value Fields,finished,38956172
pldi.440.long,"Krzysztof Maziarz, Tom Ellis, Alan Lawrence, Andrew Fitzgibbon, Simon Peyton Jones",,Hashing Modulo Alpha-Equivalence,finished,38956313
pldi.440.short,"Krzysztof Maziarz, Tom Ellis, Alan Lawrence, Andrew Fitzgibbon, Simon Peyton Jones",,Hashing Modulo Alpha-Equivalence,finished,38956226
pldi.45.long,"Xiaolei Ren, Michael Ho, Jiang Ming, Jeff Yu Lei, Li Li",,Unleashing the Hidden Power of Compiler Optimization on Binary Code Difference: An Empirical Study,incoming,38956260
pldi.45.short,"Xiaolei Ren, Michael Ho, Jiang Ming, Jeff Yu Lei, Li Li",,Unleashing the Hidden Power of Compiler Optimization on Binary Code Difference: An Empirical Study,finished,38956173
pldi.457.long,"Azadeh Farzan, Victor Nicolet",,Phased Synthesis of Divide and Conquer Programs,not_recording,38956314
pldi.457.short,"Azadeh Farzan, Victor Nicolet",,Phased Synthesis of Divide and Conquer Programs,finished,38956227
pldi.465.long,"Ruslan Nikolaev, Binoy Ravindran",,"Snapshot-Free, Transparent, and Robust Memory Reclamation for Lock-Free Data Structures",finished,38956315
pldi.465.short,"Ruslan Nikolaev, Binoy Ravindran",,"Snapshot-Free, Transparent, and Robust Memory Reclamation for Lock-Free Data Structures",finished,38956228
pldi.485.long,"Christian Gram Kalhauge, Jens Palsberg",,Logical Bytecode Reduction,finished,38956316
pldi.485.short,"Christian Gram Kalhauge, Jens Palsberg",,Logical Bytecode Reduction,finished,38956229
pldi.517.long,"Alastair F. Donaldson, Paul Thomson, Vasyl Teliman, Stefano Milizia, AndrÃ© Perez Maselco, Antoni KarpiÅ„ski",,Test-Case Reduction and Deduplication Almost for Free with Transformation-Based Compiler Testing,finished,38956317
pldi.517.short,"Alastair F. Donaldson, Paul Thomson, Vasyl Teliman, Stefano Milizia, AndrÃ© Perez Maselco, Antoni KarpiÅ„ski",,Test-Case Reduction and Deduplication Almost for Free with Transformation-Based Compiler Testing,finished,38956230
pldi.520.long,"Krishnendu Chatterjee, Ehsan Kafshdar Goharshady, Petr NovotnÃ½, ÄorÄ‘e Å½ikeliÄ‡",,Proving Non-termination by Program Reversal,finished,38956318
